Order Number,Order Status,Shipping Status,RMA Number,RMA Status,Return Date,Refund Amount,Stripe Charge ID,PayPal Transaction ID,STATUS
AG-US-00865076,RETURN,SHIPPED,200615,Refunded,7/20/2019 2:16 am,452.55,452.55,452.55,FAILED
AG-US-00868570,RETURN,SHIPPED,200652,Refunded,7/20/2019 2:18 am,418.56,418.56,418.56,FAILED
AG-US-00864438,RETURN,SHIPPED,200613,Refunded,7/20/2019 2:15 am,368,368,368,FAILED
AG-US-00862758,RETURN,SHIPPED,200604,Refunded,7/20/2019 2:15 am,342.29,342.29,342.29,FAILED
AG-US-00867267,RETURN,SHIPPED,200634,Refunded,7/20/2019 2:17 am,295.65,295.65,295.65,FAILED
AG-US-00868533,RETURN,SHIPPED,200651,Refunded,7/20/2019 2:18 am,249.34,249.34,249.34,FAILED
AG-US-00868403,RETURN,SHIPPED,200650,Refunded,7/20/2019 2:18 am,244,244,244,FAILED
AG-US-00862018,RETURN,SHIPPED,200601,Refunded,7/20/2019 2:15 am,216,216,216,FAILED
AG-US-00866901,RETURN,SHIPPED,200630,Refunded,7/20/2019 2:17 am,204,204,204,FAILED
AG-US-00866500,RETURN,SHIPPED,200624,Refunded,7/20/2019 2:16 am,199.49,199.49,199.49,FAILED
AG-US-00868101,RETURN,SHIPPED,200645,Refunded,7/20/2019 2:18 am,196,196,196,FAILED
AG-US-00848647,RETURN,SHIPPED,200574,Refunded,7/20/2019 2:13 am,186,186,186,FAILED
AG-US-00860712,RETURN,SHIPPED,200590,Refunded,7/20/2019 2:14 am,186,186,186,FAILED
AG-US-00866588,RETURN,SHIPPED,200626,Refunded,7/20/2019 2:16 am,183.96,183.96,183.96,FAILED
AG-US-00865034,RETURN,SHIPPED,200614,Refunded,7/20/2019 2:16 am,183.6,183.6,183.6,FAILED
AG-US-00868321,RETURN,SHIPPED,200648,Refunded,7/20/2019 2:18 am,182.43,182.43,182.43,FAILED
AG-US-00867689,RETURN,SHIPPED,200643,Refunded,7/20/2019 2:17 am,182,182,182,FAILED
AG-US-00852797,RETURN,SHIPPED,200577,Refunded,7/20/2019 2:13 am,173.4,173.4,173.4,FAILED
AG-US-00868166,RETURN,SHIPPED,200646,Refunded,7/20/2019 2:18 am,166.44,166.44,166.44,FAILED
AG-US-00867465,RETURN,SHIPPED,200641,Refunded,7/20/2019 2:17 am,159.87,159.87,159.87,FAILED
AG-US-00858687,RETURN,SHIPPED,200585,Refunded,7/20/2019 2:14 am,156,156,156,FAILED
AG-US-00838374,RETURN,SHIPPED,200565,Refunded,7/20/2019 2:12 am,154.76,154.76,154.76,FAILED
AG-US-00842708,RETURN,SHIPPED,200571,Refunded,7/20/2019 2:13 am,150.25,150.25,150.25,FAILED
AG-US-00857851,RETURN,SHIPPED,200584,Refunded,7/20/2019 2:14 am,146,146,146,FAILED
AG-US-00867430,RETURN,SHIPPED,200638,Refunded,7/20/2019 2:17 am,136,136,136,FAILED
AG-US-00867440,RETURN,SHIPPED,200639,Refunded,7/20/2019 2:17 am,136,136,136,FAILED
AG-US-00831808,RETURN,SHIPPED,200569,Refunded,7/20/2019 2:13 am,127.44,127.44,127.44,FAILED
AG-US-00832999,RETURN,SHIPPED,200570,Refunded,7/20/2019 2:13 am,118,118,118,FAILED
AG-US-00849685,RETURN,SHIPPED,200631,Refunded,7/20/2019 2:17 am,118,118,118,FAILED
AG-US-00865234,RETURN,SHIPPED,200616,Refunded,7/20/2019 2:16 am,113.88,113.88,113.88,FAILED
AG-US-00861148,RETURN,SHIPPED,200593,Refunded,7/20/2019 2:14 am,108.75,108.75,108.75,FAILED
AG-US-00776219,RETURN,SHIPPED,200562,Refunded,7/20/2019 2:12 am,108,108,108,FAILED
AG-US-00779585,RETURN,SHIPPED,200563,Refunded,7/20/2019 2:12 am,108,108,108,FAILED
AG-US-00840562,RETURN,SHIPPED,200568,Refunded,7/20/2019 2:13 am,108,108,108,FAILED
AG-US-00843056,RETURN,SHIPPED,200572,Refunded,7/20/2019 2:13 am,108,108,108,FAILED
AG-US-00861576,RETURN,SHIPPED,200597,Refunded,7/20/2019 2:14 am,108,108,108,FAILED
AG-US-00866318,RETURN,SHIPPED,200622,Refunded,7/20/2019 2:16 am,108,108,108,FAILED
AG-US-00867718,RETURN,SHIPPED,200642,Refunded,7/20/2019 2:17 am,108,108,108,FAILED
AG-US-00778199,RETURN,SHIPPED,200661,Refunded,7/20/2019 2:19 am,108,108,108,FAILED
AG-US-00840306,RETURN,SHIPPED,200567,Refunded,7/20/2019 2:13 am,106,106,106,FAILED
