Order Number,Order Status,Shipping Status,RMA Number,RMA Status,Return Date,Refund Amount,Stripe Charge ID,PayPal Transaction ID,STATUS
AG-US-00859749,RETURN,SHIPPED,203974,Pending Receipt,9/17/19 9:49,100.28,,1MB57463AU5690334,SUCCESS
AG-US-00858706,RETURN,SHIPPED,203879,Refunded,9/17/19 2:14,128.92,,1UG1802136238003X,SUCCESS
AG-US-00826250,RETURN,SHIPPED,203877,Refunded,9/17/19 2:14,128.47,ch_1EF053JbAfK4zMcbo1rLPyTF,,SUCCESS
AG-US-00856526,RETURN,SHIPPED,203878,Refunded,9/17/19 2:14,75.68,ch_1EeZj6JbAfK4zMcbYM1R20Hf,,SUCCESS
AG-US-00840450,RETURN,SHIPPED,203876,Refunded,9/17/19 2:14,48,ch_1EQhU5JbAfK4zMcbik27iMYU,,SUCCESS
AG-US-00868406,RETURN,SHIPPED,203991,Refunded,9/17/19 12:04,146,,0WD734863D844001U,SUCCESS
AG-US-00855028,RETURN,SHIPPED,203998,Refunded,9/17/19 12:04,128.47,ch_1EdHqcJbAfK4zMcbkIQLjPoV,,SUCCESS
AG-US-00857019,RETURN,SHIPPED,203979,Refunded,9/17/19 12:03,118,ch_1EeugYJbAfK4zMcbjTgjcAHa,,SUCCESS
AG-US-00843916,RETURN,SHIPPED,203983,Refunded,9/17/19 12:03,118,ch_1ETqpYJbAfK4zMcbnftXVsMo,,SUCCESS
AG-US-00858087,RETURN,SHIPPED,203999,Refunded,9/17/19 12:04,118,ch_1Efv7nJbAfK4zMcbEP9ujq4M,,SUCCESS
AG-US-00786239,RETURN,SHIPPED,203993,Refunded,9/17/19 12:04,116.37,,8P054188KT918521C,SUCCESS
AG-US-00864881,RETURN,SHIPPED,203987,Refunded,9/17/19 12:03,100.3,ch_1EmP8nJbAfK4zMcbwyQizvXl,,SUCCESS
AG-US-00843305,RETURN,SHIPPED,204012,Refunded,9/17/19 12:05,100.3,ch_1ETFpDJbAfK4zMcbhZl2cqpr,,SUCCESS
AG-US-00858973,RETURN,SHIPPED,203980,Refunded,9/17/19 12:03,94.82,ch_1EgvemJbAfK4zMcb9wpHUWCH,,SUCCESS
AG-US-00859612,RETURN,SHIPPED,204006,Refunded,9/17/19 12:05,94.4,ch_1EhIAiJbAfK4zMcbebRfJ6oy,,SUCCESS
AG-US-00863215,RETURN,SHIPPED,203986,Refunded,9/17/19 12:03,88,ch_1Ekfq8JbAfK4zMcbLKJOczpY,,SUCCESS
AG-US-00854099,RETURN,SHIPPED,203978,Refunded,9/17/19 12:03,86.4,ch_1EcNBWJbAfK4zMcbPpRTJOP9,,SUCCESS
AG-US-00868034,RETURN,SHIPPED,203989,Refunded,9/17/19 12:03,85.41,ch_1EqVtKJbAfK4zMcbXu0PWMjZ,,SUCCESS
AG-US-00859324,RETURN,SHIPPED,203981,Refunded,9/17/19 12:03,68,,082839537U995424P,SUCCESS
AG-US-00867170,RETURN,SHIPPED,203988,Refunded,9/17/19 12:03,68,ch_1Ep3tCJbAfK4zMcbsNQMufoM,,SUCCESS
AG-US-00868377,RETURN,SHIPPED,203990,Refunded,9/17/19 12:03,68,ch_1ErCWhJbAfK4zMcbCrCWOgIP,,SUCCESS
AG-US-00859612,RETURN,SHIPPED,203982,Refunded,9/17/19 12:03,67.2,ch_1EhIAiJbAfK4zMcbebRfJ6oy,,SUCCESS
AG-US-00862059,RETURN,SHIPPED,203985,Refunded,9/17/19 12:03,57.8,ch_1EjcPTJbAfK4zMcbk6RuwvZQ,,SUCCESS
